manufacturer;url_informazione-aziende.it
Barilla g. e r. fratelli - societa' per azioni;https://www.informazione-aziende.it/Azienda_BARILLA-G-E-R-FRATELLI-SOCIETA-PER-AZIONI
Agricola tre valli - societa' cooperativa;https://www.informazione-aziende.it/Azienda_AGRICOLA-TRE-VALLI-SOCIETA-COOPERATIVA
Luigi lavazza - societa' per azioni abbreviabile anche nella sigla: lavazza s.p.a.;https://www.informazione-aziende.it/Azienda_LUIGI-LAVAZZA-SOCIETA-PER-AZIONI-ABBREVIABILE-ANCHE-NELLA-SIGLA-LAVAZZA-SPA
Inalca societa' per azioni;https://www.informazione-aziende.it/Azienda_INALCA-SOCIETA-PER-AZIONI
Nestle' italiana s.p.a. in forma abbreviata ne.it. s.p.a.;https://www.informazione-aziende.it/Azienda_NESTLE-ITALIANA-SPA-IN-FORMA-ABBREVIATA-NEIT-SPA
"Egidio galbani societa' a responsabilita' limitata in breve ""egidio galbani s.r.l."" o ""e.ga. s.r.l.""";https://www.informazione-aziende.it/Azienda_EGIDIO-GALBANI-SOCIETA-A-RESPONSABILITA-LIMITATA-IN-BREVE-EGIDIO-GALBANI-SRL-O-EGA-SRL
Bolton food s.p.a.;https://www.informazione-aziende.it/Azienda_BOLTON-FOOD-SPA
Bunge italia s.p.a.;https://www.informazione-aziende.it/Azienda_BUNGE-ITALIA-SPA
Grandi salumifici italiani s.p.a.;https://www.informazione-aziende.it/Azienda_GRANDI-SALUMIFICI-ITALIANI-SPA
"Conserve italia - consorzio italiano fra cooperative agricole - s ocieta' cooperativa agricola - in forma abbreviata ""conserve italia soc.coop. ag ricola"".";https://www.informazione-aziende.it/Azienda_CONSERVE-ITALIA-CONSORZIO-ITALIANO-FRA-COOPERATIVE-AGRICOLE-S-OCIETA-COOPERATIVA-AGRICOLA-IN-FORMA-ABBREVIATA-CONSERVE-ITALIA-SOCCOOP-AG-RICOLA
Barilla g. e r. fratelli - societa' per azioni;https://www.informazione-aziende.it/Azienda_BARILLA-G-E-R-FRATELLI-SOCIETA-PER-AZIONI
Agricola tre valli - societa' cooperativa;https://www.informazione-aziende.it/Azienda_AGRICOLA-TRE-VALLI-SOCIETA-COOPERATIVA
Luigi lavazza - societa' per azioni abbreviabile anche nella sigla: lavazza s.p.a.;https://www.informazione-aziende.it/Azienda_LUIGI-LAVAZZA-SOCIETA-PER-AZIONI-ABBREVIABILE-ANCHE-NELLA-SIGLA-LAVAZZA-SPA
Inalca societa' per azioni;https://www.informazione-aziende.it/Azienda_INALCA-SOCIETA-PER-AZIONI
Nestle' italiana s.p.a. in forma abbreviata ne.it. s.p.a.;https://www.informazione-aziende.it/Azienda_NESTLE-ITALIANA-SPA-IN-FORMA-ABBREVIATA-NEIT-SPA
"Egidio galbani societa' a responsabilita' limitata in breve ""egidio galbani s.r.l."" o ""e.ga. s.r.l.""";https://www.informazione-aziende.it/Azienda_EGIDIO-GALBANI-SOCIETA-A-RESPONSABILITA-LIMITATA-IN-BREVE-EGIDIO-GALBANI-SRL-O-EGA-SRL
Bolton food s.p.a.;https://www.informazione-aziende.it/Azienda_BOLTON-FOOD-SPA
Bunge italia s.p.a.;https://www.informazione-aziende.it/Azienda_BUNGE-ITALIA-SPA
Grandi salumifici italiani s.p.a.;https://www.informazione-aziende.it/Azienda_GRANDI-SALUMIFICI-ITALIANI-SPA
"Conserve italia - consorzio italiano fra cooperative agricole - s ocieta' cooperativa agricola - in forma abbreviata ""conserve italia soc.coop. ag ricola"".";https://www.informazione-aziende.it/Azienda_CONSERVE-ITALIA-CONSORZIO-ITALIANO-FRA-COOPERATIVE-AGRICOLE-S-OCIETA-COOPERATIVA-AGRICOLA-IN-FORMA-ABBREVIATA-CONSERVE-ITALIA-SOCCOOP-AG-RICOLA
Ferrero industriale italia s.r.l.;https://www.informazione-aziende.it/Azienda_FERRERO-INDUSTRIALE-ITALIA-SRL
Eurovo srl;https://www.informazione-aziende.it/Azienda_EUROVO-SRL
Unigra' srl;https://www.informazione-aziende.it/Azienda_UNIGRA-SRL
C.s.i. - compagnia surgelati italiana spa;https://www.informazione-aziende.it/Azienda_CSI-COMPAGNIA-SURGELATI-ITALIANA-SPA
"Avi.coop societa' cooperativa agricola in breve: ""avi.coop s.c.a. "" ovvero: ""avi.coop soc. coop. agr.""";https://www.informazione-aziende.it/Azienda_AVICOOP-SOCIETA-COOPERATIVA-AGRICOLA-IN-BREVE-AVICOOP-SCA-OVVERO-AVICOOP-SOC-COOP-AGR
"""molino casillo societa' per azioni""";https://www.informazione-aziende.it/Azienda_MOLINO-CASILLO-SOCIETA-PER-AZIONI
Bauli s.p.a.;https://www.informazione-aziende.it/Azienda_BAULI-SPA
Pastificio rana s.p.a.;https://www.informazione-aziende.it/Azienda_PASTIFICIO-RANA-SPA
F.lli de cecco di filippo - fara san martino - s.p.a.;https://www.informazione-aziende.it/Azienda_FLLI-DE-CECCO-DI-FILIPPO-FARA-SAN-MARTINO-SPA
Perfetti van melle italia s.r.l.;https://www.informazione-aziende.it/Azienda_PERFETTI-VAN-MELLE-ITALIA-SRL
"""la doria"" - s.p.a.";https://www.informazione-aziende.it/Azienda_LA-DORIA-SPA
"""lindt & sprungli s.p.a.""";https://www.informazione-aziende.it/Azienda_LINDT-SPRUNGLI-SPA
Illycaffe' s.p.a.;https://www.informazione-aziende.it/Azienda_ILLYCAFFE-SPA
Roquette italia s.p.a.;https://www.informazione-aziende.it/Azienda_ROQUETTE-ITALIA-SPA
Latteria soresina societa' cooperativa agricola;https://www.informazione-aziende.it/Azienda_LATTERIA-SORESINA-SOCIETA-COOPERATIVA-AGRICOLA
Salumificio fratelli beretta s.p.a. o, in forma abbreviata, fratelli beretta s.p.a. o f.lli beretta s.p.a. o beretta s.p.a. o salumificio f.lli beretta s.p.a.;https://www.informazione-aziende.it/Azienda_SALUMIFICIO-FRATELLI-BERETTA-SPA-O-IN-FORMA-ABBREVIATA-FRATELLI-BERETTA-SPA-O-FLLI-BERETTA-SPA-O-BERETTA-SPA-O-SALUMIFICIO-FLLI-BERETTA-SPA
Sammontana - s.p.a.;https://www.informazione-aziende.it/Azienda_SAMMONTANA-SPA
Colla s.p.a.;https://www.informazione-aziende.it/Azienda_COLLA-SPA
"Italatte societa' a responsabilita' limitata in breve ""italatte s .r.l.""";https://www.informazione-aziende.it/Azienda_ITALATTE-SOCIETA-A-RESPONSABILITA-LIMITATA-IN-BREVE-ITALATTE-S-RL
Sterilgarda alimenti s.p.a.;https://www.informazione-aziende.it/Azienda_STERILGARDA-ALIMENTI-SPA
Martini alimentare s.r.l.;https://www.informazione-aziende.it/Azienda_MARTINI-ALIMENTARE-SRL
Carnj societa' cooperativa agricola;https://www.informazione-aziende.it/Azienda_CARNJ-SOCIETA-COOPERATIVA-AGRICOLA
A. loacker - s.p.a.;https://www.informazione-aziende.it/Azienda_A-LOACKER-SPA
"""ambrosi s.p.a. industria casearia"" in breve ""ambrosi s.p.a.""";https://www.informazione-aziende.it/Azienda_AMBROSI-SPA-INDUSTRIA-CASEARIA-IN-BREVE-AMBROSI-SPA
Alcar uno-societa' per azioni abbreviabile in alcar uno s.p.a.;https://www.informazione-aziende.it/Azienda_ALCAR-UNO-SOCIETA-PER-AZIONI-ABBREVIABILE-IN-ALCAR-UNO-SPA
Martini s.p.a.;https://www.informazione-aziende.it/Azienda_MARTINI-SPA
Rovagnati spa;https://www.informazione-aziende.it/Azienda_ROVAGNATI-SPA
Fiorital s.p.a.;https://www.informazione-aziende.it/Azienda_FIORITAL-SPA
Mutti societa' per azioni in breve: mutti s.p.a.;https://www.informazione-aziende.it/Azienda_MUTTI-SOCIETA-PER-AZIONI-IN-BREVE-MUTTI-SPA
"Consorzio latterie sociali mantovane ""virgilio"" societa' agricola cooperativa oppure piu' brevemente consorzio latterie ""virgilio""  societa' agricola cooperativa";https://www.informazione-aziende.it/Azienda_CONSORZIO-LATTERIE-SOCIALI-MANTOVANE-VIRGILIO-SOCIETA-AGRICOLA-COOPERATIVA-OPPURE-PIU-BREVEMENTE-CONSORZIO-LATTERIE-VIRGILIO-SOCIETA-AGRICOLA-COOPERATIVA
C.l.a.i. - cooperativa lavoratori agricoli imolesi - societa' cooperativa agricola in breve clai soc. coop. agricola  oppure clai sca;https://www.informazione-aziende.it/Azienda_CLAI-COOPERATIVA-LAVORATORI-AGRICOLI-IMOLESI-SOCIETA-COOPERATIVA-AGRICOLA-IN-BREVE-CLAI-SOC-COOP-AGRICOLA-OPPURE-CLAI-SCA
Giuseppe citterio salumificio s.p.a. in breve giuseppe citterio s.p.a.;https://www.informazione-aziende.it/Azienda_GIUSEPPE-CITTERIO-SALUMIFICIO-SPA-IN-BREVE-GIUSEPPE-CITTERIO-SPA
Consorzio casalasco del pomodoro societa' agricola cooperativa;https://www.informazione-aziende.it/Azienda_CONSORZIO-CASALASCO-DEL-POMODORO-SOCIETA-AGRICOLA-COOPERATIVA
F. divella s.p.a.;https://www.informazione-aziende.it/Azienda_F-DIVELLA-SPA
